

Windows-1252;;kunta_1_20220101#sairaanhoitop_1_20220101;;
sourcecode;sourcename;targetcode;targetname

"'020'";"Akaa";"'06'";"Pirkanmaan SHP"
"'005'";"Alajärvi";"'15'";"Etelä-Pohjanmaan SHP"
"'009'";"Alavieska";"'18'";"Pohjois-Pohjanmaan SHP"
"'010'";"Alavus";"'15'";"Etelä-Pohjanmaan SHP"
"'016'";"Asikkala";"'07'";"Päijät-Hämeen SHP"
"'018'";"Askola";"'25'";"Helsingin ja Uudenmaan SHP"
"'019'";"Aura";"'03'";"Varsinais-Suomen SHP"
"'035'";"Brändö";"'00'";"Ahvenanmaa"
"'043'";"Eckerö";"'00'";"Ahvenanmaa"
"'046'";"Enonkoski";"'11'";"Itä-Savon SHP"
"'047'";"Enontekiö";"'21'";"Lapin SHP"
"'049'";"Espoo";"'25'";"Helsingin ja Uudenmaan SHP"
"'050'";"Eura";"'04'";"Satakunnan SHP"
"'051'";"Eurajoki";"'04'";"Satakunnan SHP"
"'052'";"Evijärvi";"'15'";"Etelä-Pohjanmaan SHP"
"'060'";"Finström";"'00'";"Ahvenanmaa"
"'061'";"Forssa";"'05'";"Kanta-Hämeen SHP"
"'062'";"Föglö";"'00'";"Ahvenanmaa"
"'065'";"Geta";"'00'";"Ahvenanmaa"
"'069'";"Haapajärvi";"'18'";"Pohjois-Pohjanmaan SHP"
"'071'";"Haapavesi";"'18'";"Pohjois-Pohjanmaan SHP"
"'072'";"Hailuoto";"'18'";"Pohjois-Pohjanmaan SHP"
"'074'";"Halsua";"'17'";"Keski-Pohjanmaan SHP"
"'075'";"Hamina";"'08'";"Kymenlaakson SHP"
"'076'";"Hammarland";"'00'";"Ahvenanmaa"
"'077'";"Hankasalmi";"'14'";"Keski-Suomen SHP"
"'078'";"Hanko";"'25'";"Helsingin ja Uudenmaan SHP"
"'079'";"Harjavalta";"'04'";"Satakunnan SHP"
"'081'";"Hartola";"'07'";"Päijät-Hämeen SHP"
"'082'";"Hattula";"'05'";"Kanta-Hämeen SHP"
"'086'";"Hausjärvi";"'05'";"Kanta-Hämeen SHP"
"'111'";"Heinola";"'07'";"Päijät-Hämeen SHP"
"'090'";"Heinävesi";"'12'";"Pohjois-Karjalan SHP"
"'091'";"Helsinki";"'25'";"Helsingin ja Uudenmaan SHP"
"'097'";"Hirvensalmi";"'10'";"Etelä-Savon SHP"
"'098'";"Hollola";"'07'";"Päijät-Hämeen SHP"
"'102'";"Huittinen";"'04'";"Satakunnan SHP"
"'103'";"Humppila";"'05'";"Kanta-Hämeen SHP"
"'105'";"Hyrynsalmi";"'19'";"Kainuun SHP"
"'106'";"Hyvinkää";"'25'";"Helsingin ja Uudenmaan SHP"
"'108'";"Hämeenkyrö";"'06'";"Pirkanmaan SHP"
"'109'";"Hämeenlinna";"'05'";"Kanta-Hämeen SHP"
"'139'";"Ii";"'18'";"Pohjois-Pohjanmaan SHP"
"'140'";"Iisalmi";"'13'";"Pohjois-Savon SHP"
"'142'";"Iitti";"'07'";"Päijät-Hämeen SHP"
"'143'";"Ikaalinen";"'06'";"Pirkanmaan SHP"
"'145'";"Ilmajoki";"'15'";"Etelä-Pohjanmaan SHP"
"'146'";"Ilomantsi";"'12'";"Pohjois-Karjalan SHP"
"'153'";"Imatra";"'09'";"Etelä-Karjalan SHP"
"'148'";"Inari";"'21'";"Lapin SHP"
"'149'";"Inkoo";"'25'";"Helsingin ja Uudenmaan SHP"
"'151'";"Isojoki";"'15'";"Etelä-Pohjanmaan SHP"
"'152'";"Isokyrö";"'15'";"Etelä-Pohjanmaan SHP"
"'165'";"Janakkala";"'05'";"Kanta-Hämeen SHP"
"'167'";"Joensuu";"'12'";"Pohjois-Karjalan SHP"
"'169'";"Jokioinen";"'05'";"Kanta-Hämeen SHP"
"'170'";"Jomala";"'00'";"Ahvenanmaa"
"'171'";"Joroinen";"'10'";"Etelä-Savon SHP"
"'172'";"Joutsa";"'14'";"Keski-Suomen SHP"
"'176'";"Juuka";"'12'";"Pohjois-Karjalan SHP"
"'177'";"Juupajoki";"'06'";"Pirkanmaan SHP"
"'178'";"Juva";"'10'";"Etelä-Savon SHP"
"'179'";"Jyväskylä";"'14'";"Keski-Suomen SHP"
"'181'";"Jämijärvi";"'04'";"Satakunnan SHP"
"'182'";"Jämsä";"'06'";"Pirkanmaan SHP"
"'186'";"Järvenpää";"'25'";"Helsingin ja Uudenmaan SHP"
"'202'";"Kaarina";"'03'";"Varsinais-Suomen SHP"
"'204'";"Kaavi";"'13'";"Pohjois-Savon SHP"
"'205'";"Kajaani";"'19'";"Kainuun SHP"
"'208'";"Kalajoki";"'18'";"Pohjois-Pohjanmaan SHP"
"'211'";"Kangasala";"'06'";"Pirkanmaan SHP"
"'213'";"Kangasniemi";"'10'";"Etelä-Savon SHP"
"'214'";"Kankaanpää";"'04'";"Satakunnan SHP"
"'216'";"Kannonkoski";"'14'";"Keski-Suomen SHP"
