

Windows-1252;;kunta_1_20220101#hyvinvointialue_1_20220101;;
sourcecode;sourcename;targetcode;targetname

"'020'";"Akaa";"'08'";"Pirkanmaan hyvinvointialue"
"'005'";"Alajärvi";"'16'";"Etelä-Pohjanmaan hyvinvointialue"
"'009'";"Alavieska";"'19'";"Pohjois-Pohjanmaan hyvinvointialue"
"'010'";"Alavus";"'16'";"Etelä-Pohjanmaan hyvinvointialue"
"'016'";"Asikkala";"'09'";"Päijät-Hämeen hyvinvointialue"
"'018'";"Askola";"'01'";"Itä-Uudenmaan hyvinvointialue"
"'019'";"Aura";"'05'";"Varsinais-Suomen hyvinvointialue"
"'035'";"Brändö";"'91'";"Ahvenanmaa"
"'043'";"Eckerö";"'91'";"Ahvenanmaa"
"'046'";"Enonkoski";"'12'";"Etelä-Savon hyvinvointialue"
"'047'";"Enontekiö";"'21'";"Lapin hyvinvointialue"
"'049'";"Espoo";"'03'";"Länsi-Uudenmaan hyvinvointialue"
"'050'";"Eura";"'06'";"Satakunnan hyvinvointialue"
"'051'";"Eurajoki";"'06'";"Satakunnan hyvinvointialue"
"'052'";"Evijärvi";"'16'";"Etelä-Pohjanmaan hyvinvointialue"
"'060'";"Finström";"'91'";"Ahvenanmaa"
"'061'";"Forssa";"'07'";"Kanta-Hämeen hyvinvointialue"
"'062'";"Föglö";"'91'";"Ahvenanmaa"
"'065'";"Geta";"'91'";"Ahvenanmaa"
"'069'";"Haapajärvi";"'19'";"Pohjois-Pohjanmaan hyvinvointialue"
"'071'";"Haapavesi";"'19'";"Pohjois-Pohjanmaan hyvinvointialue"
"'072'";"Hailuoto";"'19'";"Pohjois-Pohjanmaan hyvinvointialue"
"'074'";"Halsua";"'18'";"Keski-Pohjanmaan hyvinvointialue"
"'075'";"Hamina";"'10'";"Kymenlaakson hyvinvointialue"
"'076'";"Hammarland";"'91'";"Ahvenanmaa"
"'077'";"Hankasalmi";"'15'";"Keski-Suomen hyvinvointialue"
"'078'";"Hanko";"'03'";"Länsi-Uudenmaan hyvinvointialue"
